question,answer
Nguyên tắc xét tuyển của học viện năm nay ntn? Và học viện có áp dụng tiêu chí phụ gì khi xét đối với các thí sinh đăng ký vào không?,"I. Xét tuyển dựa vào kết quả thi THPT 2024:
-	Xét tuyển theo ngành và theo tổ hợp bài thi/môn thi xét tuyển;
-	Điểm trúng tuyển của các tổ hợp bài thi/môn thi trong cùng một ngành là bằng nhau (không có điểm chênh lệch giữa các tổ hợp trong cùng một ngành);
-	Xét trúng tuyển từ thí sinh có kết quả cao xuống và đảm bảo chất lượng tuyển sinh;
-	Xét tuyển các nguyện vọng bình đẳng (không có điểm chênh lệch giữa các nguyện vọng trong cùng một ngành), nếu thí sinh không trúng tuyển nguyện vọng ở thứ tự ưu tiên thứ nhất (nguyện vọng 1) thì sẽ được tự động xét tuyển ở nguyện vọng ưu tiên thứ hai (nguyện vọng 2) và kế tiếp;
-	Thí sinh chỉ trúng tuyển vào 1 nguyện vọng ưu tiên cao nhất trong danh sách các nguyện vọng đã đăng ký, khi đã trúng tuyển ở nguyện vọng nào thì không được xét tuyển tiếp ở nguyện vọng sau;
-	Điểm trúng tuyển được tính theo thang điểm 10 trên tổng điểm tối đa của 3 môn thi trong tổ hợp xét tuyển là 30 điểm;
-	Đối với các thí sinh bằng điểm xét tuyển ở cuối danh sách, nếu vẫn còn vượt chỉ tiêu thì ưu tiên thí sinh có nguyện vọng cao hơn theo Quy chế tuyển sinh của Bộ Giáo dục và Đào tạo, Học viện không sử dụng tiêu chí phụ riêng để xét tuyển;
-	Thí sinh trúng tuyển phải xác nhận nhập học trong thời gian quy định của Học viện. Nếu quá thời hạn này, thí sinh không xác nhận nhập học được xem là từ chối nhập học.
-	Các điều kiện khác thực hiện theo Quy chế tuyển sinh đại học hệ chính quy hiện hành của Bộ Giáo dục và Đào tạo và của Học viện."
Câu hỏi thường gặp về tuyển sinh,Bạn đang gặp vấn đề gì?
Chương trình đào tạo tại miền Nam có khác với miền Bắc không?,Chương trình đào tạo của Học viện được áp dụng thống nhất ở cả 2 Cơ sở đào tạo Hà Nội và Tp. Hồ Chí Minh
"Trường mình có 2 cơ sở, vậy sẽ phân bố học sinh như thế nào ạ?","Chỉ tiêu đào tạo của từng cơ sở đã được Học viện thông báo rộng rãi rồi em nhé, em có thể tìm hiểu kỹ thêm tại Cổng thông tin tuyển sinh của Học viện."
"Em đăng ký NV1 là ngành An toàn thông tin, NV2 là ngành CNTT nếu điểm thi của em đều đỗ vào cả 2 ngành thì em muốn học ngành CNTT mà ko học An toàn thông tin có đc ko ạ?","Không được em nhé! Theo nguyên tắc xét tuyển thì thí sinh chỉ trúng tuyển vào 1 nguyện vọng ưu tiên cao nhất trong danh sách các nguyện vọng đã đăng ký, khi đã trúng tuyển ở nguyện vọng nào thì không được xét tuyển tiếp ở nguyện vọng sau. Do vậy khi em đã trúng tuyển ở NV1 thì NV2 không được xét tuyển nữa."
Học viện có bao nhiêu loại học bổng,"Có 3 loại học bổng là: học bổng đặc biệt, học bổng toàn phần và học bổng cho thí sinh đạt thành tích cao"
Chi tiết về loại học bổng đặc biệt,"Năm 2024, Học viện Công nghệ Bưu chính Viễn thông cấp tối đa 30 suất học bổng đặc biệt, giá trị mỗi suất tới 500 triệu đồng cho các thí sinh xuất sắc (gồm miễn học phí toàn thời gian học, chi phí ăn ở, kinh phí nghiên cứu khoa học, thực tập ở nước ngoài, kinh phí hỗ trợ từ doanh nghiệp đối tác và các hỗ trợ khác).
Đối tượng xét cấp học bổng đặc biệt là các thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Nhất, Nhì, Ba trong kỳ thi chọn học sinh giỏi quốc gia các môn Toán, Lý và Tin học; thí sinh có điểm thi tốt nghiệp THPT từ 29,0 điểm trở lên. Ngoài ra, người được nhận học bổng còn phải đảm bảo điểm trung bình chung tích lũy năm học liên tục đạt từ loại Giỏi trở lên."
Chi tiết về loại học bổng cho thí sinh đạt thành tích cao,"Học viện tiếp tục duy trì chính sách học bổng cho các thí sinh đạt thành tích cao:
+ Học bổng miễn 100% học phí trong năm học thứ nhất với tối đa 100 suất cho các thí sinh đạt giải trong kỳ thi học sinh giỏi quốc tế, quốc gia hoặc thí sinh đạt giải Nhất, Nhì trong kỳ thi học sinh giải cấp Tỉnh, Thành phố trực thuộc TW các môn Toán, Lý, Hóa và Tin học hoặc đạt kết quả cao trong kỳ thi tốt nghiệp THPT.
+ Học bổng miễn 50% học phí trong năm học thứ nhất với tối đa 300 suất cho các thí sinh đạt giải trong các kỳ thi học sinh giỏi và các thí sinh đạt kết quả cao trong kỳ thi tốt nghiệp THPT.
Ghi chú: Thí sinh chỉ được xét và cấp một Loại học bổng trong chính sách học bổng nêu trên; xét cấp học bổng thực hiện xét từ trên xuống cho đến hết số suất học bổng.
Ngoài ra, sinh viên còn có nhiều cơ hội để được nhận các xuất học bổng của các doanh nghiệp hàng đầu như VNPT, Mobifone, Viettel, Samsung, FPT, AGR, …"
Chi tiết về loại học bổng toàn phần,"Năm 2024, Học viện Công nghệ Bưu chính Viễn thông cấp tối đa 50 suất học bổng toàn phần với giá trị học bổng tới 250 triệu đồng (tương đương học phí toàn khóa học của chương trình chất lượng cao) cho các thí sinh đoạt giải Nhất trong kỳ thi học sinh giỏi cấp Tỉnh/Thành phố trực thuộc TW các môn Toán, Lý và Tin học. Người được nhận học bổng toàn phần phải đảm bảo điểm trung bình chung tích lũy năm học liên tục đạt từ loại Giỏi trở lên trong thời gian học tập."
Các mốc thời gian quan trọng,"Mốc thí sinh đăng ký, điều chỉnh nguyện vọng xét tuyển diễn ra vào: 2024-07-10
Mốc nộp lệ phí xét tuyển trực tuyến diễn ra vào: 2024-07-28
Mốc thông báo thí sinh trúng tuyển đợt 1 diễn ra vào: 2024-08-12
Mốc hoàn thành xác nhận nhập học trực tuyến đợt 1 trên hệ thống diễn ra vào: 2024-08-18"
"Mốc thí sinh đăng ký, điều chỉnh nguyện vọng xét tuyển diễn ra vào thời gian nào?","Mốc thí sinh đăng ký, điều chỉnh nguyện vọng xét tuyển diễn ra vào: 2024-07-10"
Mốc nộp lệ phí xét tuyển trực tuyến diễn ra vào thời gian nào?,Mốc nộp lệ phí xét tuyển trực tuyến diễn ra vào: 2024-07-28
Mốc thông báo thí sinh trúng tuyển đợt 1 diễn ra vào thời gian nào?,Mốc thông báo thí sinh trúng tuyển đợt 1 diễn ra vào: 2024-08-12
Mốc hoàn thành xác nhận nhập học trực tuyến đợt 1 trên hệ thống diễn ra vào thời gian nào?,Mốc hoàn thành xác nhận nhập học trực tuyến đợt 1 trên hệ thống diễn ra vào: 2024-08-18
Các phương thức xét tuyển của học viện?," Xét tuyển tài năng
 Xét tuyển dựa vào kết quả thi THPT
 Xét tuyển kết hợp
 Xét tuyển dựa vào kết quả thi đánh giá năng lực
 Xét tuyển dựa vào kết quả thi đánh giá tư duy"
Chi tiết về phương thức Xét tuyển tài năng?,"Xét tuyển thẳng và ưu tiên xét tuyển: Học viện thực hiện xét tuyển thẳng và ưu tiên xét tuyển theo Quy chế tuyển sinh đại học của Bộ Giáo dục và Đào tạo (có thông báo chi tiết riêng)
Xét tuyển dựa vào hồ sơ năng lực đối với các thí sinh có Thành tích đoạt giải trong kỳ thi chọn học sinh giỏi THPT cấp quốc gia (giải Khuyến khích), cấp Tỉnh/Thành phố trực thuộc TW (Nhất, Nhì, Ba và Khuyến khích), thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển hoặc là học sinh tại các trường THPT chuyên."
Chi tiết về phương thức Xét tuyển dựa vào kết quả thi THPT?,"Xét tuyển theo ngành và theo tổ hợp bài thi/môn thi xét tuyển
Điểm trúng tuyển của các tổ hợp bài thi/môn thi trong cùng một ngành là bằng nhau (không có điểm chênh lệch giữa các tổ hợp trong cùng một ngành)
Xét trúng tuyển từ thí sinh có kết quả cao xuống và đảm bảo chất lượng tuyển sinh
Xét tuyển các nguyện vọng bình đẳng (không có điểm chênh lệch giữa các nguyện vọng trong cùng một ngành), nếu thí sinh không trúng tuyển nguyện vọng ở thứ tự ưu tiên thứ nhất (nguyện vọng 1) thì sẽ được tự động xét tuyển ở nguyện vọng ưu tiên thứ hai (nguyện vọng 2) và kế tiếp
Thí sinh chỉ trúng tuyển vào 1 nguyện vọng ưu tiên cao nhất trong danh sách các nguyện vọng đã đăng ký, khi đã trúng tuyển ở nguyện vọng nào thì không được xét tuyển tiếp ở nguyện vọng sau
Điểm trúng tuyển được tính theo thang điểm 10 trên tổng điểm tối đa của 3 môn thi trong tổ hợp xét tuyển là 30 điểm
Đối với các thí sinh bằng điểm xét tuyển ở cuối danh sách, nếu vẫn còn vượt chỉ tiêu thì ưu tiên thí sinh có nguyện vọng cao hơn theo Quy chế tuyển sinh của Bộ Giáo dục & Đào tạo, Học viện không sử dụng tiêu chí phụ riêng để xét tuyển
Thí sinh trúng tuyển phải xác nhận nhập học trong thời gian quy định của Học viện. Nếu quá thời hạn này, thí sinh không xác nhận nhập học được xem là từ chối nhập học. Các điều kiện khác thực hiện theo Quy chế tuyển sinh đại học hệ chính quy hiện hành của Bộ Giáo dục và Đào tạo và của Học viện."
Chi tiết về phương thức Xét tuyển kết hợp?,"Thí sinh có Chứng chỉ quốc tế SAT, trong thời hạn 02 năm (tính đến ngày xét tuyển) từ 1130/1600 trở lên hoặc ACT từ 25/36 trở lên và có kết quả điểm trung bình chung học tập lớp 10, 11, 12 hoặc học kỳ 1 lớp 12 (nếu chưa có kết quả năm học lớp 12) đạt từ 7,5 trở lên và có hạnh kiểm Khá trở lên
Thí sinh có Chứng chỉ tiếng Anh quốc tế trong thời hạn (tính đến ngày xét tuyển) đạt IELTS 5.5 trở lên hoặc TOEFL iBT 65 trở lên hoặc TOEFL ITP 513 trở lên và có kết quả điểm trung bình chung học tập lớp 10, 11, 12 hoặc học kỳ 1 lớp 12 (nếu chưa có kết quả năm học lớp 12) đạt từ 7,5 trở lên và có hạnh kiểm Khá trở lên"
Chi tiết về phương thức Xét tuyển dựa vào kết quả thi đánh giá năng lực?,"Thí sinh có điểm thi đánh giá năng lực của Đại học quốc gia Hà Nội năm 2024 từ 75 điểm trở lên
Thí sinh có điểm thi đánh giá năng lực của Đại học quốc gia Hồ Chí Minh năm 2024 từ 600 điểm trở lên
Thí sinh có điểm thi đánh giá tư duy của Đại học Bách khoa Hà Nội năm 2024 từ 50 điểm trở lên."
Chi tiết về phương thức Xét tuyển dựa vào kết quả thi đánh giá tư duy?,"Thí sinh có điểm thi đánh giá năng lực của Đại học quốc gia Hà Nội năm 2024 từ 75 điểm trở lên
Thí sinh có điểm thi đánh giá năng lực của Đại học quốc gia Hồ Chí Minh năm 2024 từ 600 điểm trở lên
Thí sinh có điểm thi đánh giá tư duy của Đại học Bách khoa Hà Nội năm 2024 từ 50 điểm trở lên."
Quy trình nộp hồ sơ trực tuyến như nào?,"B1: Đăng ký tài khoản
B2: Khai báo thông tin
B3: Đăng ký nguyện vọng
B4: Thanh toán trực tuyến
B5: Nộp hồ sơ về Học viện
B6: Nhận thông tin kết quả"
Chi tiết về B1: Đăng ký tài khoản?,"Đăng ký tài khoản trên hệ thống https://xettuyen.ptit.edu.vn với địa chỉ email hoặc tài khoản Google, Facebook"
